毕业年份,学校名称,专业分类,院校所在地,工资/月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,上海交通大学,综合,上海,12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,清华大学,理工,北京,12225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,中国人民大学,综合,北京,11471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京大学,综合,北京,11885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,上海外国语大学,语言,上海,11287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京外国语大学,语言,北京,11619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京交通大学,理工,北京,11328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京航空航天大学,理工,北京,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,暨南大学,综合,广东,11190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,华南理工大学,理工,广东,11273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,东南大学,综合,江苏,11211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,中山大学,综合,广东,11327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,复旦大学,综合,上海,11714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,东华大学,理工,上海,11480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,上海对外经贸大学,财经,上海,11174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,厦门大学,综合,福建,10926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,对外经济贸易大学,财经,北京,11357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,同济大学,理工,上海,11660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京邮电大学,理工,北京,11802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,浙江大学,综合,浙江,11325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,大连理工大学,理工,辽宁,11027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,上海财经大学,财经,上海,11158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京电影学院,艺术,北京,10677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,北京工业大学,理工,北京,10915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,中央财经大学,财经,北京,11271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,西安交通大学,综合,陕西,11037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,华东师范大学,师范,上海,11019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
